symptoms
เหมือนโดนขูดเบาๆ แล้วเหลือรอยจาง
ใบเป็นรอยเส้นขาวๆ ยาวๆ
ใบดูเหมือนเป็นรอยดินสอจางๆ
มีรอยขีดยาวๆ ตามใบข้าว
ใบซีดๆ เป็นรอยเส้นตลอดแนว
เส้นโปร่งๆ เรียงกันตามแนวใบ
ใบลายเส้นซีดๆ เห็นได้ตอนแดดแรง
ใบเหมือนโดนขีดด้วยดินสอสีจางๆ
ใบดูซีดเป็นทางๆ
ใบเป็นรอยเส้นขาวๆ ยาวๆ
มีรอยขีดยาวๆ ตามใบข้าว
รอยขีดมันโปร่งจนเห็นทะลุ
ใบเป็นรอยเส้นขาวๆ ยาวๆ
ใบเหมือนเป็นรอยขูดๆ จางๆ
เหมือนโดนขูดเบาๆ แล้วเหลือรอยจาง
ขีดยาวๆ เหมือนโดนร้อนแต่ไม่ไหม้
มีรอยขีดยาวๆ ตามใบข้าว
ใบมีทางสีขาวๆ คล้ายลายเส้น
เหมือนมีรอยดินสอลากยาวบนใบ
ใบเป็นรอยเส้นขาวๆ ยาวๆ
เหมือนมีรอยดินสอลากยาวบนใบ
เส้นโปร่งๆ เรียงกันตามแนวใบ
เห็นรอยเส้นซีดๆ ตามแนวเส้นใบ
ขีดเป็นทางบนใบ มองทะลุได้นิดๆ
คล้ายๆ กับลายเส้นสีขาวลากไปมา
เห็นรอยเส้นซีดๆ ตามแนวเส้นใบ
ใบเหมือนโดนขีดด้วยดินสอสีจางๆ
ใบเหมือนโดนขีดด้วยดินสอสีจางๆ
ขีดๆ โปร่งแสง ไม่ใช่รอยแผลชัดเจน
เป็นรอยบางๆ ลากยาวตลอดใบ
เหมือนมีรอยดินสอลากยาวบนใบ
ขีดเหมือนเส้นใยบนใบข้าว
ขีดยาวๆ เหมือนโดนร้อนแต่ไม่ไหม้
ใบดูแปลกๆ มีเส้นซีดๆ พาดไปพาดมา
ขีดยาวๆ เหมือนมีคนเอาอะไรขูด
ขีดยาวๆ เหมือนโดนร้อนแต่ไม่ไหม้
เหมือนมีรอยดินสอลากยาวบนใบ
เป็นรอยบางๆ ลากยาวตลอดใบ
ขีดๆ โปร่งแสง ไม่ใช่รอยแผลชัดเจน
ใบมีทางสีขาวๆ คล้ายลายเส้น
ขีดเหมือนเส้นใยบนใบข้าว
มีเส้นขีดบางๆ โปร่งแสงบนใบ
มีรอยขีดยาวๆ ตามใบข้าว
ใบดูเหมือนเป็นรอยดินสอจางๆ
ใบเหมือนโดนขีดด้วยดินสอสีจางๆ
มีรอยขีดยาวๆ ตามใบข้าว
เส้นยาวบนใบดูซีดๆ
ใบดูเหมือนเป็นรอยดินสอจางๆ
เหมือนโดนขูดเบาๆ แล้วเหลือรอยจาง
เห็นรอยเส้นซีดๆ ตามแนวเส้นใบ
ขีดยาวๆ เหมือนมีคนเอาอะไรขูด
มีรอยขีดยาวๆ ตามใบข้าว
ใบดูเหมือนเป็นรอยดินสอจางๆ
คล้ายๆ กับลายเส้นสีขาวลากไปมา
เหมือนโดนขูดเบาๆ แล้วเหลือรอยจาง
เป็นรอยบางๆ ลากยาวตลอดใบ
ใบเหมือนเป็นรอยขูดๆ จางๆ
ขีดเหมือนเส้นใยบนใบข้าว
ขีดเป็นทางบนใบ มองทะลุได้นิดๆ
ขีดยาวๆ เหมือนมีคนเอาอะไรขูด
ใบดูแปลกๆ มีเส้นซีดๆ พาดไปพาดมา
เหมือนโดนขูดเบาๆ แล้วเหลือรอยจาง
ขีดยาวๆ เหมือนโดนร้อนแต่ไม่ไหม้
เส้นโปร่งๆ เรียงกันตามแนวใบ
ขีดๆ โปร่งแสง ไม่ใช่รอยแผลชัดเจน
ลายขาวบางๆ แทรกอยู่บนใบข้าว
มีรอยขีดยาวๆ ตามใบข้าว
